Journal_Name,Index_Category
Brazilian Journal of Psychiatry,SSCI/SCIE/SCI
Britain and the World,SSCI/SCI/AHCI
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,SSCI/SCI/AHCI
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,SSCI/SCIE/SCI/AHCI
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,SSCI/SCIE/SCI
British Journal of Middle Eastern Studies,SSCI/SCI/AHCI
British Journal of Music Education,SSCI/SCI/AHCI
British Journal of Occupational Therapy,SSCI/SCIE/SCI
BRITISH JOURNAL OF PSYCHIATRY,SSCI/SCIE/SCI
British Journal of Religious Education,SSCI/SCI/AHCI
BULLETIN OF THE HISTORY OF MEDICINE,SSCI/SCIE/SCI/AHCI
Cadernos de Saude Publica,SSCI/SCIE/SCI
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,SSCI/SCIE/SCI
CANADIAN HISTORICAL REVIEW,SSCI/SCI/AHCI
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,SSCI/SCIE/SCI
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,SSCI/SCIE/SCI
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,SSCI/SCIE/SCI
CANCER NURSING,SSCI/SCIE/SCI
Carbon Management,SSCI/SCIE/SCI
Celebrity Studies,SSCI/SCI/AHCI
Cell Metabolism,SSCI/SCIE/SCI
CELL RESEARCH,SSCI/SCIE/SCI
CENTAURUS,SSCI/SCIE/SCI/AHCI
CENTRAL EUROPEAN HISTORY,SSCI/SCI/AHCI
Central European Journal of Public Health,SSCI/SCIE/SCI
Chemistry Education Research and Practice,SSCI/SCIE/SCI
Child and Adolescent Mental Health,SSCI/SCIE/SCI
Child and Adolescent Psychiatry and Mental Health,SSCI/SCIE/SCI
CHILD CARE HEALTH AND DEVELOPMENT,SSCI/SCIE/SCI
Child Language Teaching & Therapy,SSCI/SCI/AHCI
China Agricultural Economic Review,SSCI/SCIE/SCI
China CDC Weekly,SSCI/SCIE/SCI
Chronic Illness,SSCI/SCIE/SCI
CIN-COMPUTERS INFORMATICS NURSING,SSCI/SCIE/SCI
Circulo de Linguistica Aplicada a la Comunicacion,SSCI/SCI/AHCI
